record_month,company_name,is_irdai_registered,claim_settlement_ratio,solvency_ratio,avg_claim_payout_days,complaint_resolution_rate,customer_retention_rate,total_assets_cr,legal_dispute_count,premium_to_payout_ratio,digital_success_rate,grievance_disposal_days,transparency_score,hidden_charges_flag,physical_branch_rating,online_tracking_available,agent_rating,final_safety_grade,is_fake_company
January 2024,Alpha Secure Life,1,97.46070646350472,2.289482315777904,11,98.71133192321619,95.63575984868606,50206,7,1.0687349535656185,99.29191051890474,2,0.9572447436045611,0,4.853627917489784,1,4.950209028581665,A+,0
February 2024,Alpha Secure Life,1,99.70778579499868,1.9115950885216335,12,98.56250278007747,97.5578052710801,71518,4,1.1235431606118866,99.1098791592306,2,0.9744726380138782,0,4.767948732559382,1,4.816550728636634,A,0
March 2024,Alpha Secure Life,1,98.85477637306448,2.0337157188281747,7,99.88351607304804,95.90646215301166,72361,0,1.103040473536345,99.32066805426928,3,0.9992825227055301,0,4.893551837122835,1,4.66951489552435,A+,0
April 2024,Alpha Secure Life,1,98.33476808836845,2.0930894746349535,5,99.53360154603445,97.48975805326269,73419,3,1.0987979286758167,99.81614559739118,2,0.962102763575575,0,4.752309928701497,1,4.674604787306331,A,0
May 2024,Alpha Secure Life,1,96.6084726977255,2.164855987373629,8,99.24196033041214,97.10023146673879,72403,0,1.2446021109504892,99.24491902444618,3,0.9836067773702939,0,4.90728132143074,1,4.8629778394351195,A+,0
June 2024,Alpha Secure Life,1,96.60837862931119,2.4281407691144112,6,98.61907639716723,94.69670404482922,68141,3,1.128619544933352,99.58292110848723,1,0.9880809807664359,0,4.816020603890161,1,4.948555129976288,A+,0
July 2024,Alpha Secure Life,1,96.22652608745598,1.9597390257266878,12,98.76025349699154,92.57246069894246,64820,0,1.2284093110354226,99.00046833929578,1,0.9618818771996199,0,4.98101899662102,1,4.943543212132559,A,0
August 2024,Alpha Secure Life,1,99.37808696852225,2.2113875507308896,8,99.89576592179242,94.2249095131896,56374,5,1.1762277251994526,99.31731197070076,1,0.986410817430593,0,4.741256283243798,1,4.889937772928812,A+,0
September 2024,Alpha Secure Life,1,98.34434854579851,2.2739316550896342,6,98.82110274306005,96.01304751598164,51678,4,1.2089622607083297,99.27430313234223,1,0.9683891566359626,0,4.802319905315078,1,4.821015823077144,A+,0
October 2024,Alpha Secure Life,1,98.76148305340458,1.8371603301759982,10,97.82799754606764,95.99553413970499,83827,7,1.1505274186210384,99.14819026782865,3,0.981615291529679,0,4.734042056372177,1,4.542069982497525,A,0
November 2024,Alpha Secure Life,1,96.08027952775363,2.286035881521151,10,97.88882051711225,95.54778672624636,66198,3,1.1653807769252718,99.4806804774379,1,0.9816764855380448,0,4.977408085483569,1,4.5808143570473066,A+,0
December 2024,Alpha Secure Life,1,99.78264842343178,1.9364192989498332,14,97.49580081718901,93.64833075794039,59914,7,1.1485035387637728,99.43634697422308,2,0.9767887342037379,0,4.963201806014294,1,4.94927709426354,A+,0
January 2025,Alpha Secure Life,1,99.24652629912165,1.8520412743882237,8,97.04690922022358,95.36746055508621,77890,7,1.089048597559609,99.62319242960125,2,0.9545144885027204,0,4.777382488314547,1,4.803214529829795,A+,0
February 2025,Alpha Secure Life,1,96.82812253164528,2.5591084298026665,10,98.27020444211911,94.29756124852274,72299,7,1.194490423052301,99.24247110041867,2,0.9917651247794619,0,4.897995213810254,1,4.504598525808315,A,0
March 2025,Alpha Secure Life,1,96.7091173721077,2.5725056264596473,6,98.18464455452671,97.83027257233462,52693,6,1.1061544724881711,99.219712970023,3,0.9660390032485867,0,4.945166660060365,1,4.550735771433016,A+,0
April 2025,Alpha Secure Life,1,96.71527758842839,2.446717878493169,14,97.88046452415412,97.0934829455965,79467,2,1.0548631932862909,99.15146193795564,1,0.9593259255199926,0,4.866560243479839,1,4.831750884554028,A,0
May 2025,Alpha Secure Life,1,97.1865447475422,2.0436910153386965,6,97.04223946814525,96.33037712698923,79723,0,1.1790944591814336,99.19688779761576,1,0.9520387570777381,0,4.858895173506802,1,4.5025307919231095,A+,0
June 2025,Alpha Secure Life,1,98.04655008336573,1.878137691205107,14,97.59652721226641,93.41590951849373,53627,7,1.0854221358814098,99.50229180181562,1,0.979544647159412,0,4.772555687270136,1,4.5804040257087495,A+,0
July 2025,Alpha Secure Life,1,97.68458557270425,2.3473864212097255,8,99.13402585824595,93.53640993656795,75939,0,1.238091716870583,99.36345255395224,3,0.9838782180921141,0,4.72793083034177,1,4.774366894683293,A+,0
August 2025,Alpha Secure Life,1,97.13579364677237,2.152121994991681,12,99.37052662159361,92.24260153723058,71834,7,1.2407857154005175,99.05840302239808,2,0.9508293914463928,0,4.969164727385998,1,4.8459475988463465,A,0
